origin,gold,ours,precision,recall,f-score,type
"From the 1960s composite material airframes and quieter , more efficient engines have became available , and Concorde provided supersonic passanger service for more than two decades , but the most important lasting innovations have taken place to instrumentation and control .","Since the 1960s composite material airframes and quieter , more efficient engines have become available , and Concorde provided supersonic passenger service for more than two decades , but the most important lasting innovations have taken place in instrumentation and control .","From the 1960s composite material airframes and quieter , more efficient engines have became available , and Concorde provided supersonicanger service for more than two decades , but the most important lasting innovations have taken place in instrumentation and control .",0.5,0.25,0.4166666666666667,
"Aviation safety mean the state of a aviation system or organization in which risks associated by aviation activities , related to , or in direct support of the operation of aircraft , are reduced and controlled to an acceptable level .","Aviation safety means the state of an aviation system or organization in which risks associated with aviation activities , related to , or in direct support of the operation of aircraft , are reduced and controlled to an acceptable level .","Aviation safety is the state of an aviation system or organization in which risks associated with aviation activities , related to , or in direct support of the operation of aircraft , are reduced and controlled to an acceptable level .",0.6666666666666666,0.6666666666666666,0.6666666666666666,
"In additional , there are environmental impacts specify to aviation .","In addition , there are environmental impacts specific to aviation .","In addition , there are environmental impacts specify to aviation .",1.0,0.5,0.8333333333333334,
"Even white light might be create using individual red , green and blue LEDs , it results in poor color rendering , since only three narrow bands of wavelengths of light are being emitted","Even though white light can be created using individual red , green and blue LEDs , this results in poor color rendering , since only three narrow bands of wavelengths of light are being emitted","Even white light might be created using individual red , green and blue LEDs , it results in poor color rendering , since only three narrow bands of wavelengths of light are being emitted .",0.5,0.25,0.4166666666666667,
The reason be that marriages make particularly men become more future-oriented and take the economic and other responsibility of family .,The reason may be that marriages make particularly men become more future-oriented and take an economic and other responsibility of the family .,The reason is that marriages make particularly men become more future-oriented and take the economic and other responsibility of family .,0.0,0.0,0.0,
"He call them oxidizing rays to emphasize chemical reactivity and distinguishing them from heat rays , discovered the previous year at the other end of the visible spectrum .","He called them oxidizing rays to emphasize chemical reactivity and to distinguish them from heat rays , discovered the previous year at the other end of the visible spectrum .","He calls them oxidizing rays to emphasize chemical reactivity and distinguish them from heat rays , discovered the previous year at the other end of the visible spectrum .",0.0,0.0,0.0,
By 1903 it is known most effective wavelengths were around 250 nm .,By 1903 it was known the most effective wavelengths were around 250 nm .,By 1903 it was known the most effective wavelengths were around 250 nm .,1.0,1.0,1.0,
"Both UVA and UVB destroy vitamin A in skin , can cause further damaging .","Both UVA and UVB destroy vitamin A in skin , which may cause further damage .","Both UVA and UVB destroy vitamin A in the skin , which can cause further damage .",0.6666666666666666,0.6666666666666666,0.6666666666666666,
The amount of UV light produced by Sun means that the Earth would not be able to sustain life on dry land if most of that light not filtered out by the almosphere .,The amount of UV light produced by the Sun means that the Earth would not be able to sustain life on dry land if most of that light were not filtered out by the atmosphere .,The amount of UV light produced by the Sun means that the Earth would not be able to sustain life on dry land if most of that light was not filtered out by the atmosphere .,0.6666666666666666,0.6666666666666666,0.6666666666666666,
"In the electronic level , absorption in the ultraviolet and visible portions of the spectrum depends on the electron orbital are spaced such that they can absorb a quantum of light of a specific frequency , and does not violate selection rules .","At the electronic level , absorption in the ultraviolet and visible portions of the spectrum depends on if the electron orbitals are spaced such that they can absorb a quantum of light of a specific frequency , and does not violate selection rules .","At the electronic level , absorption in the ultraviolet and visible portions of the spectrum depends on the electron orbital are spaced such that they can absorb a quantum of light of a specific frequency , and does not violate selection rules .",1.0,0.3333333333333333,0.7142857142857143,
Computer modeling of light transmission throught translucent ceramic alumina has shown that microscopic pore trapped near grain boundaries act as primary scattering centers .,Computer modeling of light transmission through translucent ceramic alumina has shown that microscopic pores trapped near grain boundaries act as primary scattering centers .,Computer modeling of light transmission through translucent ceramic alumina has shown that microscopic pores trapped near grain boundaries act as primary scattering centers .,1.0,1.0,1.0,
The states in different material vary in the range from energy that they can absorb .,The states in different materials vary in the range of energy that they can absorb .,The states of different materials vary in the range of energy that they can absorb .,0.6666666666666666,1.0,0.7142857142857142,
The attenuation of light of all frequency and wavelengths is due combined mechanisms of absorption and scattering .,The attenuation of light of all frequencies and wavelengths is due to the combined mechanisms of absorption and scattering .,The attenuation of light of all frequency and wavelengths is due to combined mechanisms of absorption and scattering .,1.0,0.3333333333333333,0.7142857142857143,
In the fruit fly insulin both regulate blood sugar as well acting as an growth factor .,In the fruit fly insulin both regulates blood sugar as well as acting as a growth factor .,"In the fruit fly , insulin both regulates blood sugar as well as acting as a growth factor .",0.75,1.0,0.7894736842105263,
"The second phase to synthesizing tryptophan itself from the 5-hydroxytryptophan intermediate would require adding ethanol and water , and letting sit for 30 days this time .","The second phase to synthesizing tryptophan itself from the 5-hydroxytryptophan intermediate would require adding ethanol and water , and letting sit for 30 days this time .","The second phase to synthesizing tryptophan itself from the 5-hydroxytryptophan intermediate would require adding ethanol and water , and letting sit for 30 days this time .",1.0,1.0,1.0,
"The brain uses significantly less energy during sleep than this does when awoke , especially during non-REM sleep .","The brain uses significantly less energy during sleep than it does when awake , especially during non-REM sleep .","The brain uses significantly less energy during sleep than it does when awoke , especially during non-REM sleep .",1.0,0.5,0.8333333333333334,
Conversely he or she can have difficulty waking up in the trough of the cycle .,Conversely they can have difficulty waking up in the trough of the cycle .,Conversely he or she can have difficulty waking up in the trough of the cycle .,1.0,0.0,0.0,
"The human physically organism restores itself during sleep , healing itself and removing metabolic wastes which build during periods of activity","The human organism physically restores itself during sleep , healing itself and removing metabolic wastes which build up during periods of activity","The human physical organism restores itself during sleep , healing itself and removing metabolic wastes which build up during periods of activity",0.5,0.5,0.5,
Many of Shakespeare play were published in editions of varying quality and accuracy in his lifetime .,Many of Shakespeare 's plays were published in editions of varying quality and accuracy in his lifetime .,Many of Shakespeare 's plays were published in editions of varying quality and accuracy in his lifetime .,1.0,1.0,1.0,
"Throughout 20th and 21st century , Shakespeare 's works have been continually adapted and rediscovered with new movements in scholarship and performance .","Throughout the 20th and 21st centuries , Shakespeare 's works have been continually adapted and rediscovered by new movements in scholarship and performance .","Throughout the 20th and 21st century , Shakespeare 's works have been continually adapted and rediscovered with new movements in scholarship and performance .",1.0,0.3333333333333333,0.7142857142857143,
It is not so really clear for which companies Shakespeare wrote this early plays .,It is not clear for which companies Shakespeare wrote his early plays .,It is not really clear for which company Shakespeare wrote these early plays .,0.0,0.0,0.0,
"The Romantic poets attempted revive Shakespearean verse drama , though with a little success .","The Romantic poets attempted to revive Shakespearean verse drama , though with little success .","The Romantic poets attempted to revive Shakespearean verse drama , though with little success .",1.0,1.0,1.0,
"Some commentators have seen this change on mood as evidence of an more serene view of life on Shakespeare 's part , but it may merely reflect the theatrical fashion on the day .","Some commentators have seen this change in mood as evidence of a more serene view of life on Shakespeare 's part , but it may merely reflect the theatrical fashion of the day .","Some commentators have seen this change in mood as evidence of a more serene view of life on Shakespeare 's part , but it may merely reflect the theatrical fashion of the day .",1.0,1.0,1.0,
"In 1593 and 1594 , when the threatres were closed because by plague , Shakespeare published two narrative poems on sexual themes , Venus and Adonis and The Rape of Lucrece .","In 1593 and 1594 , when the theatres were closed because of plague , Shakespeare published two narrative poems on sexual themes , Venus and Adonis and The Rape of Lucrece .","In 1593 and 1594 , when the theatres were closed because of the plague , Shakespeare published two narrative poems on sexual themes , Venus and Adonis and The rape of Lucrece .",0.5,1.0,0.5555555555555556,
This decision are based on the factors analyzed in a planning stage as well as where the product is in the product live cycle .,This decision is based on the factors analyzed in the planning stage as well as where the product is in the product life cycle .,This decision is based on the factors analyzed in the planning stage as well as where the product is in the product life cycle .,1.0,1.0,1.0,
"To stimulate the growth of sale , use for advertising may be high , in other to heightening awareness of the product in question .","To stimulate the growth of sales , use of advertising may be high , in order to heighten awareness of the product in question .","To stimulate the growth of sales , the use of advertising may be high , in other to heightening awareness of the product in question .",0.6666666666666666,0.5,0.625,
"Viral marketing can be greatly facilitated by social medium and if successful , allows key marketing messages and content in reaching large number of target audience within a short time frame .","Viral marketing can be greatly facilitated by social media and if successful , allows key marketing messages and content in reaching a large number of target audiences within a short time frame .","Viral marketing can be greatly facilitated by social medium and if successful , allows key marketing messages and content to reach large number of target audiences within a short time frame .",0.5,0.3333333333333333,0.45454545454545453,
C2C marketing represents a market envirnment where one customer purchase goods from another customer using a third-party business or platform to facilitate the transaction .,C2C marketing represents a market environment where one customer purchases goods from another customer using a third-party business or platform to facilitate the transaction .,C2C marketing represents a market environment where one customer purchases goods from another customer using a third-party business or platform to facilitate the transaction .,1.0,1.0,1.0,
He concluded there are fourteen different types of cubics that cannot be reduced to a equation of a lesser degree .,He concluded that there are fourteen different types of cubics that cannot be reduced to an equation of a lesser degree .,He concluded there are fourteen different types of cubics that cannot be reduced to an equation of a lesser degree .,1.0,0.5,0.8333333333333334,
"I did not observe that he had any great belief of astrological predictions , nor I have seen or heard from any of the great scientists who had such belief .","I did not observe that he had any great belief in astrological predictions , nor have I seen or heard of any of the great scientists who had such belief .","I did not observe that he had any great belief in astrological predictions , nor have I seen or heard from any of the great scientists who had such beliefs .",0.6666666666666666,0.6666666666666666,0.6666666666666666,
The premise of PMI is that the tools and technique of project management are common even among the widespead application of projects from the software industry to the construction industry .,The premise of PMI is that the tools and techniques of project management are common even among the widespread application of projects from the software industry to the construction industry .,The premise of PMI is that the tools and techniques of project management are common even among the widespread application of projects from the software industry to the construction industry .,1.0,1.0,1.0,
Ballet is a collaboration art form .,Ballet is a collaborative art form .,Ballet is a collaboration art form .,1.0,0.0,0.0,
The musical assistant explain developments of musical research and translates artistic ideas into programming languages .,The musical assistant explains developments in musical research and translates artistic ideas into programming languages .,The musical assistant explains developments of musical research and translates artistic ideas into programming languages .,1.0,0.5,0.8333333333333334,
"Examples of products created by mean of commons-based peer production include Linux , an computer operating system","Examples of products created by means of commons-based peer production include Linux , a computer operating system","Examples of products created by means of Commons-based peer production include Linux , a computer operating system",0.6666666666666666,1.0,0.7142857142857142,
"Wikipedia is a example of a collaborative editing project on a large scale , which can be both good and bad , because of the large contributions by the public , Wikipedia has one of the widest ranges of material in the world .","Wikipedia is an example of a collaborative editing project on a large scale , which can be both good and bad . Because of the large contributions by the public , Wikipedia has one of the widest ranges of material in the world .","Wikipedia is an example of a collaborative editing project on a large scale , which can be both good and bad . because of the large contributions by the public , Wikipedia has one of the widest ranges of material in the world .",0.5,0.5,0.5,
"The typing might be organized by divides the writing into sub-tasks assigned to each group member , with the first part of the tasks done before the next parts , or he or she might work together on each tasks .","The typing might be organized by dividing the writing into sub-tasks assigned to each group member , with the first part of the tasks done before the next parts , or they might work together on each task .","The typing might be organized by divides the writing into sub-tasks assigned to each group member , with the first part of the task done before the next parts , or he or they might work together on each task .",0.3333333333333333,0.3333333333333333,0.3333333333333333,
"Such asynchronous contributions are very efficient in the current time , as group members need not to assemble order to work together .","Such asynchronous contributions are very efficient in time , as group members need not assemble in order to work together .","Such asynchronous contributions are very efficient at the current time , as group members need not need to assemble in order to work together .",0.3333333333333333,0.3333333333333333,0.3333333333333333,
That is increasing amount of research literature investigating how a collaborative writing can improve learning experiences .,There is increasing amount of research literature investigating how collaborative writing can improve learning experiences .,There is an increasing amount of research literature investigating how collaborative writing can improve learning experiences .,0.6666666666666666,1.0,0.7142857142857142,
"At first , the designers of word processing systems combines existing technologies with emerging ones to develop stand-alone equipment , created a new business distinct to the emerging world of the personally computer .","At first , the designers of word processing systems combined existing technologies with emerging ones to develop stand-alone equipment , creating a new business distinct from the emerging world of the personal computer .","At first , the designers of word processing systems combine existing technologies with emerging ones to develop stand-alone equipment , creating a new business distinct to the emerging world of the personally computer .",0.5,0.25,0.4166666666666667,
Word processors do not develop out computer technolology .,Word processors did not develop out of computer technology .,Word processors do not develop out of computer technology .,1.0,0.6666666666666666,0.9090909090909091,
"Word processing systems would create a lot much more complex and capable text were developed and prices began to fall , making them more accessible to the public .","Word processing systems that would create much more complex and capable text were developed and prices began to fall , making them more accessible to the public .","Word processing systems that would create a lot much more complex and capable text were developed and prices began to fall , making them more accessible to the public .",1.0,0.5,0.8333333333333334,
"A demand for new and interesting fonts , which can be found the free of copyright restrictions , or commissioned from font designers , occurred .","A demand for new and interesting fonts , which can be found free of copyright restrictions , or commissioned from font designers , occurred .","A demand for new and interesting fonts , which can be found free of copyright restrictions , or commissioned from font designers , occurred .",1.0,1.0,1.0,
"Five of these amphora were designated as originating from the king personal estate , with the sixth from the estate of the royal house of Aten .","Five of these amphoras were designated as originating from the king 's personal estate , with the sixth from the estate of the royal house of Aten .","Five of these amphora were designated as originating from the king 's personal estate , with the sixth from the estate of the royal house of Aten .",1.0,0.5,0.8333333333333334,
Both of it regions eventually evolved into American wine 's oldest and largest wine producrs respectively .,Both of these regions eventually evolved into American wine 's oldest and largest wine producers respectively .,Both of these regions eventually evolved into American wine 's oldest and largest wine products respectively .,0.5,0.5,0.5,
"Wine must also be made from other species of grape or from hybrids , created by the genetical crossing of two species .","Wine can also be made from other species of grape or from hybrids , created by the genetic crossing of two species .","Wine must also be made from other species of grape or from hybrids , created by the genetical crossing of two species .",1.0,0.0,0.0,
Some blended wine names are marketing terms whose use is governed by trademark law rather than by specific wine laws .,Some blended wine names are marketing terms whose use is governed by trademark law rather than by specific wine laws .,Some blended wine names are marketing terms whose use is governed by trademark law rather than by specific wine laws .,1.0,1.0,1.0,
"Western cultures are associated width auditory experiences concerning religious content , frequently related for sin .","Western cultures are associated with auditory experiences concerning religious content , frequently related to sin .","Western cultures are associated with auditory experiences concerning religious content , frequently related to sin .",1.0,1.0,1.0,
An delusion is commonly defined as an unrelenting sense of certainty maintained despite of strong contradictroy evidence .,A delusion is commonly defined as an unrelenting sense of certainty maintained despite strong contradictory evidence .,A delusion is commonly defined as an unrelenting sense of certainty maintained despite of strong contradictory evidence .,1.0,0.6666666666666666,0.9090909090909091,
A other type of catatonia is more of an outward presentation of the profoundly agitated state described from above .,The other type of catatonia is more of an outward presentation of the profoundly agitated state described above .,Another type of catatonia is more of an outward presentation of the profoundly agitated state described above .,0.5,0.5,0.5,
"It involves excessive and purposeless motor behaviour , as well as extreme mental preoccupation that prevents an intact experiences of reality .","It involves excessive and purposeless motor behaviour , as well as extreme mental preoccupation that prevents an intact experience of reality .","It involves excessive and purposeless motor behaviour , as well as extreme mental preoccupation that prevents an intact experience of reality .",1.0,1.0,1.0,
"Alogia are characterized by a lack of speech , often causing by an disruption of the throught process .","Alogia is characterized by a lack of speech , often caused by a disruption in the thought process .","Alogia is characterized by a lack of speech , often caused by a disruption of the through process .",0.75,0.6,0.7142857142857143,
"Apart with the lacks of content in a reply , the manner in which the person delivered the reply is affected as well .","Apart from the lack of content in a reply , the manner in which the person delivers the reply is affected as well .","Apart from the lack of content in a reply , the manner in which the person delivered the reply is affected as well .",1.0,0.6666666666666666,0.9090909090909091,
Studies have showed a correlation between alogic ratings in individuals and amount and duration of pauses in they speech when responding to a series of questions posed from the researcher .,Studies have shown a correlation between alogic ratings in individuals and the amount and duration of pauses in their speech when responding to a series of questions posed by the researcher .,Studies have showed a correlation betweenogic ratings in individuals and the amount and duration of pauses in their speech when responding to a series of questions posed by the researcher .,0.75,0.75,0.75,
"Spech vague , conveys little information , but is not grossly incoherent and the amount of speech is not reduced .","Speech is vague , conveys little information , but is not grossly incoherent and the amount of speech is not reduced .","Spech vague , conveys little information , but is not grossly incoherent and the amount of speech is not reduced .",1.0,0.0,0.0,
"They was found self-esteem is related to the connectivity of frontostriatal circuits , suggesting that feelings of self-worth may emerge from neural systems which integrate information about the self with positive affect and reward .","It was found that self-esteem is related to the connectivity of frontostriatal circuits , suggesting that feelings of self-worth may emerge from neural systems which integrate information about the self with positive affect and reward .","They found that self-esteem is related to the connectivity of frontostriatal circuits , suggesting that feelings of self-worth may emerge from neural systems which integrate information about the self with positive affect and reward .",0.5,0.5,0.5,
"This circuit is important executive functions including complex problem solving , learning new information , planning ahead , recalling remote memories , responding with appropriate behavior , and chronological ordering of event .","This circuit is important in executive functions including complex problem solving , learning new information , planning ahead , recalling remote memories , responding with appropriate behavior , and chronological ordering of events .","This circuit is important executive functions including complex problem solving , learning new information , planning ahead , recalling remote memories , responding with appropriate behavior , and chronological ordering of events .",1.0,0.5,0.8333333333333334,
These five circuits share the same anatomical structures .,These five circuits share same anatomical structures .,These five circuits share the same anatomical structures .,1.0,0.0,0.0,
"Also , there 're open connections to these circuits integrating informatin from other areas of the brain .","Also , there are open connections to these circuits integrating information from other areas of the brain .","Also , there are open connections to these circuits integrating informationati from other areas of the brain .",0.5,0.5,0.5,
Respect from others was believed to be more fragile and lost easily than inner self-esteem .,Respect from others was believed to be more fragile and easily lost than inner self-esteem .,Respect from others was believed to be more fragile and lost easily than inner self-esteem .,1.0,0.0,0.0,
Modern theories of self-esteem explore the reasons humans were motivated to maintain a high regard for they .,Modern theories of self-esteem explore the reasons humans are motivated to maintain a high regard for themselves .,Modern theories of self-esteem explore the reasons humans are motivated to maintain a high regard for themselves .,1.0,1.0,1.0,
"According with Terror Management Theory , self-esteem serves a protective function and reduce anxiety about life and death .","According to Terror Management Theory , self-esteem serves a protective function and reduces anxiety about life and death .","According to Terror Management Theory , self-esteem serves a protective function and reduces anxiety about life and death .",1.0,1.0,1.0,
"Thus , it affects the way we are and acts in world and the way we are related to everybody else .","Thus , it affects the way we are and acts in the world and the way we are related to everybody else .","Thus , it affects the way we are and act in the world and the way we are related to everybody else .",0.5,1.0,0.5555555555555556,
Experiences in a person life are a major source of how would that be the self-esteem develops .,Experiences in a person 's life are a major source of how self-esteem develops .,Experiences in a person 's life are a major source of how self-esteem develops .,1.0,1.0,1.0,
"In the early years of a child 's lives , parents have a significant influence on self-esteem and can be considered the main source from positive and negative experiences a children will have .","In the early years of a child 's life , parents have a significant influence on self-esteem and can be considered the main source of positive and negative experiences a child will have .","In the early years of a child 's life , parents have a significant influence on self-esteem and can be considered the main source of positive and negative experiences a child will have .",1.0,1.0,1.0,
A decrease is being seen from middle age to old age with varying findings on they is a small or large decrease .,A decrease is seen from middle age to old age with varying findings on if it is a small or large decrease .,A decrease is being seen from middle age to old age with varying findings it is a small or large decrease .,0.5,0.3333333333333333,0.45454545454545453,
Multiple cohort studies show there is not an difference in the life-span trajectory of self-esteem between generations due to societal changes such grade inflation in education or the presence of social media .,Multiple cohort studies show that there is not a difference in the life-span trajectory of self-esteem between generations due to societal changes such as grade inflation in education or the presence of social media .,Multiple cohort studies show there is not a difference in the life-span trajectory of self-esteem between generations due to societal changes such as grade inflation in education or the presence of social media .,1.0,0.6666666666666666,0.9090909090909091,
Families with higher and expendable income can acumulate wealth and focus in meeting immediate needs while being able to consume and enjoy luxuries and weather crises .,Families with higher and expendable income can accumulate wealth and focus on meeting immediate needs while being able to consume and enjoy luxuries and weather crises .,Families with higher and expendable income can accumulate wealth and focus on meeting immediate needs while being able to consume and enjoy luxuries and weather crises .,1.0,1.0,1.0,
These types of discrimination feed into the some other reasons why African Americans ends up have different starting points and therefore fewer assets .,These types of discrimination feed into the other reasons why African Americans end up having different starting points and therefore fewer assets .,These types of discrimination feed into some other reasons why African Americans end up having different starting points and therefore fewer assets .,0.6666666666666666,0.6666666666666666,0.6666666666666666,
Parents with an low socioeconomic status cannot afford to many of the health care resources which be the reason that their children may have a more advanced illness because of the lack of treatment .,Parents with a low socioeconomic status cannot afford many of the health care resources which is the reason that their children may have a more advanced illness because of the lack of treatment .,Parents with a low socioeconomic status cannot afford many of the health care resources which may be the reason that their children may have more advanced illnesses because of the lack of treatment .,0.5,0.6666666666666666,0.5263157894736842,
"This would lead to greater feelings of independent , making individuals of high SES less inclined to gain rapport with conversational partners because they are less likely to need their assistance in future .","This may lead to greater feelings of independence , making individuals of high SES less inclined to gain rapport with conversational partners because they are less likely to need their assistance in the future .","This would lead to greater feelings of independence , making individuals of high SES less inclined to gain rapport with conversational partners because they are less likely to need their assistance in future .",1.0,0.3333333333333333,0.7142857142857143,
"On contrast , increasing rates of obesity in a societal level are felt to be due to an easily accessible and palatable diet , increased reliance of cars , and mechanized manufacturing .","In contrast , increasing rates of obesity at a societal level are felt to be due to an easily accessible and palatable diet , increased reliance on cars , and mechanized manufacturing .","In contrast , increasing rates of obesity at a societal level are felt to be due to an easily accessible and palatable diet , increased reliance on cars , and mechanized manufacturing .",1.0,1.0,1.0,
"During the same period , an increase occurred on the average amount of food energy consume .","During the same period , an increase occurred in the average amount of food energy consumed .","During the same period , an increase occurred in the average amount of food energy consumed .",1.0,1.0,1.0,
"It is thought that in the developed countries , the wealthy are able to afford more nutritious food , they are under greater social pressure to remain slim , and have more opportunities along with greater expectations for physical fitness .","It is thought that in developed countries , the wealthy are able to afford more nutritious food . They are under greater social pressure to remain slim , and have more opportunities along with greater expectations for physical fitness .","It is thought that in the developed countries , the wealthy are able to afford more nutritious food , they are under greater social pressure to remain slim , and have more opportunities along with greater expectations for physical fitness .",1.0,0.0,0.0,
Even shorts sleep does increase weight gain it is unclear this is to a meaningful degrees or increasing sleep would been of benefit .,Even if shorts sleep does increase weight gain it is unclear if this is to a meaningful degree or increasing sleep would be of benefit .,Even short sleep does increase weight gain . It is unclear if this is to a meaningful degree or if increasing sleep would been of benefit .,0.4,0.5,0.4166666666666667,
Certain aspects of personality are associated to being obese .,Certain aspects of personality are associated with being obese .,Certain aspects of personality are associated to being obese .,1.0,0.0,0.0,
Yet academia study of loneliness was sparse until late twentieth centary .,Yet academic study of loneliness was sparse until the late twentieth century .,Yet academia study of loneliness was sparse until the late twentieth century .,1.0,0.6666666666666666,0.9090909090909091,
"Chronic loneliness on the other hands is widely considered to be harmful , with numerous reviews and meta-studies concluding they is a significant risk factor for poor mental and physical health outcomes .","Chronic loneliness on the other hand is widely considered harmful , with numerous reviews and meta-studies concluding it is a significant risk factor for poor mental and physical health outcomes .","Chronic loneliness on the other hand is widely considered to be harmful , with numerous reviews and meta-studies concluding it is a significant risk factor for poor mental and physical health outcomes .",1.0,0.6666666666666666,0.9090909090909091,
The loneliness that triggers suicidal tendencies impact all facet of society .,The loneliness that triggers suicidal tendencies impacts all facets of society .,The loneliness that triggers suicidal tendencies impacts all facets of society .,1.0,1.0,1.0,
"Nostalgia has also been found to have a restoative effect , counteracting loneliness by increasing perceived social support .","Nostalgia has also been found to have a restorative effect , counteracting loneliness by increasing perceived social support .","Nostalgia has also been found to have a restorative effect , counteracting loneliness by increasing perceived social support .",1.0,1.0,1.0,
"Although nostalgia is often triggered by negative feelings , but its results in increasing one 's mood and heightening positive emotions , which can stem from feelings of warmth or coping resulting from nostalgic reflections .","Although nostalgia is often triggered by negative feelings , it results in increasing one 's mood and heightening positive emotions , which can stem from feelings of warmth or coping resulting from nostalgic reflections .","Although nostalgia is often triggered by negative feelings , it results in increasing one 's mood and heightening positive emotions , which can stem from feelings of warmth or coping resulting from nostalgic reflections .",1.0,1.0,1.0,
"Additionally , in a second study conducted , some participant were exposed to nostalgic engagement and reflection while a other group was not .","Additionally , in a second study conducted , some participants were exposed to nostalgic engagement and reflection while the other group was not .","Additionally , in a second study conducted , some participants were exposed to nostalgic engagement and reflection while the other group were not .",0.6666666666666666,1.0,0.7142857142857142,
"Thirdly , the researchers find that threatened meaning can even act as a triger for nostalgia , thus increasing one 's nostalgic reflections .","Thirdly , the researchers found that threatened meaning can even act as a trigger for nostalgia , thus increasing one 's nostalgic reflections .","Thirdly , the researchers find that threatened meaning can even act as a trigger for nostalgia , thus increasing one 's nostalgic reflections .",1.0,0.5,0.8333333333333334,
"In a 2014 study conduct by Routledge , he and a team observed that the more people reported have major disruptions and uncertainties in they lives , the more their nostalgically longed for the past .","In a 2014 study conducted by Routledge , he and a team observed that the more people reported having major disruptions and uncertainties in their lives , the more they nostalgically longed for the past .","In a 2014 study conducted by Routledge , he and a team observed that the more people reported having major disruptions and uncertainties in their lives , the more their nostalgically long for the past .",0.75,0.75,0.75,
"Aesthetics , a non very tidy intellectual discipline , is a heterogeneous collection of problems that concern an arts primarily but also relate about nature .","Aesthetics , a not very tidy intellectual discipline , is a heterogeneous collection of problems that concern the arts primarily but also relate to nature .","Aesthetics , a non very tidy intellectual discipline , is a heterogeneous collection of problems that concern the arts primarily but also relate to nature .",1.0,0.6666666666666666,0.9090909090909091,
It 's what a thing means or symbolizes to us that is often what we are judging .,It is what a thing means or symbolizes for us that is often what we are judging .,It 's what a thing means or symbolizes to us that is often what we are judging .,1.0,0.0,0.0,
"For instant , the source of a painting 's beauty has a different characters to that of beautiful music , suggesting his or her aesthetics differ in kind .","For instance , the source of a painting 's beauty has a different character to that of beautiful music , suggesting their aesthetics differ in kind .","For instance , the source of a painting 's beauty has a different character to that of beautiful music , suggesting his or her aesthetics differ in kind .",1.0,0.6666666666666666,0.9090909090909091,
"Another very concrete example describes a aesthetical pleasing human face whose proportions can be described by very few bits of information , drawing inspiration from less detailed 15th century proportion studies by Leonardo da Vinci and Albrecht Dürer .","Another very concrete example describes an aesthetically pleasing human face whose proportions can be described by very few bits of information , drawing inspiration from less detailed 15th century proportion studies by Leonardo da Vinci and Albrecht Dürer .","Another very concrete example describes an aesthetical pleasing human face whose proportions can be described by very few bits of information , drawing inspiration from less detailed 15th century proportion studies by Leonardo da Vinci and Albrecht Dürer .",1.0,0.5,0.8333333333333334,
