ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src	edits_count	len
12	By the begin of WOWII, many towns and cities had built airports, and there is numerous qualifying pilots available.	By the beginning of World War II, many towns and cities had built airports, and there were numerous qualified pilots available.	21	Vform	2,3|||beginning	Wa	4,5|||World War II	Vt	16,17|||were	Vform	18,19|||qualified					https://en.wikipedia.org/wiki/Aviation	4	20
13	From the 1960s composite material airframes and quieter, more efficient engines have became available, and Concorde provided supersonic passanger service for more than two decades, but the most important lasting innovations have taken place to instrumentation and control.	Since the 1960s composite material airframes and quieter, more efficient engines have become available, and Concorde provided supersonic passenger service for more than two decades, but the most important lasting innovations have taken place in instrumentation and control.	38	Prep	0,1|||Since	Vt	13,14|||become	Mec	20,21|||passenger	Wci	37,38|||in					https://en.wikipedia.org/wiki/Aviation	4	30
14	Aviation safety mean the state of a aviation system or organization in which risks associated by aviation activities, related to, or in direct support for the operation of aircraft, are reduced and controlled to a acceptable level.	Aviation safety means the state of an aviation system or organization in which risks associated with aviation activities, related to, or in direct support of the operation of aircraft, are reduced and controlled to an acceptable level.	37	SVA	2,3|||means	ArtOrDe	6,7|||an	Wci	15,16|||with	Wci	26,27|||of	ArtOrDe	37,38|||an			https://en.wikipedia.org/wiki/Aviation	5	30
15	In additional, there are environmental impacts specify to aviation.	In addition, there are environmental impacts specific to aviation.	9	Wci	1,2|||addition	Wform	7,8|||specific									https://en.wikipedia.org/wiki/Aviation	2	0
16	Even white light might be create using individual red, green and blue LEDs, it results in poor color rendering, since only three narrow bands of wavelengths of light are being emitted	Even though white light can be created using individual red, green and blue LEDs, this results in poor color rendering, since only three narrow bands of wavelengths of light are being emitted	32	Wci	1,1|||though	Vm	3,4|||can	Vform	5,6|||created	Pref	15,16|||this					https://en.wikipedia.org/wiki/Light-emitting_diode	4	30
17	The reason be that marriages make particularly men become more future-oriented and take the economic and other responsibility of family.	The reason may be that marriages make particularly men become more future-oriented and take an economic and other responsibility of the family.	22	Vm	2,2|||may	ArtOrDe	13,14|||an	ArtOrDe	19,19|||the							https://en.wikipedia.org/wiki/Marriage	3	20
18	He call their oxidizing rays to emphasize chemical reactivity and distinguishing they from heat rays, discovered the previous year at the other end of a visible spectrum.	He called them oxidizing rays to emphasize chemical reactivity and to distinguish them from heat rays, discovered the previous year at the other end of the visible spectrum.	28	Vt	1,2|||called	Pform	2,3|||them	Spar	10,11|||to distinguish	Pform	11,12|||them	ArtOrDe	25,26|||the			https://en.wikipedia.org/wiki/Ultraviolet	5	20
19	By 1903 it is known most effective wavelengths were around 250 nm.	By 1903 it was known the most effective wavelengths were around 250 nm.	13	Vt	3,4|||was	ArtOrDe	5,5|||the									https://en.wikipedia.org/wiki/Ultraviolett	2	10
20	Both UVA and UVB destroy vitamin A in skin, can cause further damaging.	Both UVA and UVB destroy vitamin A in skin, which may cause further damage.	14	Ssub	10,10|||which	Vm	10,11|||may	Wform	13,14|||damage							https://en.wikipedia.org/wiki/Ultraviolet	3	10
21	The amount of UV light produced by Sun means that Earth would not be able to sustain life on dry land if most of that light not filtered ous by the almosphere.	The amount of UV light produced by the Sun means that the Earth would not be able to sustain life on dry land if most of that light were not filtered out by the atmosphere.	35	ArtOrDe	7,7|||the	ArtOrDe	10,10|||the	V0	26,26|||were	Mec	28,29|||out	Mec	31,32|||atmosphere			https://en.wikipedia.org/wiki/Ultraviolet	5	30
22	In the electronic level, absorption in the ultraviolet and visible portions of the spectrum depends on the electron orbital are spaced such that they can absorb an quantum of light of a specific frequencies, and does not violate selection rules.	At the electronic level, absorption in the ultraviolet and visible portions of the spectrum depends on if the electron orbitals are spaced such that they can absorb a quantum of light of a specific frequency, and does not violate selection rules.	41	Wci	0,1|||At	Trans	17,17|||if	Nn	19,20|||orbitals	ArtOrDe	27,28|||a	Nn	34,35|||frequency			https://en.wikipedia.org/wiki/Transparency_and_translucency	5	40
23	Computer modeling of light transmission throught translucent ceramic alumina has shown microscopic pore trapped near grain boundaries act at primary scattering centers.	Computer modeling of light transmission through translucent ceramic alumina has shown that microscopic pores trapped near grain boundaries act as primary scattering centers.	23	Mec	5,6|||through	Ssub	11,11|||that	Nn	12,13|||pores	Prep	18,19|||as					https://en.wikipedia.org/wiki/Transparency_and_translucency	4	20
24	The states in different material vary in the range from energy that they can absorb.	The states in different materials vary in the range of energy that they can absorb.	15	Nn	4,5|||materials	Wci	9,10|||of									https://en.wikipedia.org/wiki/Transparency_and_translucency	2	10
25	The attenuation of light of all frequency and wavelengths is due combined mechanisms of absorption and scattering.	The attenuation of light of all frequencies and wavelengths is due to the combined mechanisms of absorption and scattering.	19	Nn	6,7|||frequencies	Mec	11,11|||to	ArtOrDe	11,11|||the							https://en.wikipedia.org/wiki/Transparency_and_translucency	3	10
26	In the fruit fly insulin both regulate blood sugar as well acting as an growth factor. 	In the fruit fly insulin both regulates blood sugar as well as acting as a growth factor. 	17	SVA	6,7|||regulates	Wci	11,11|||as	ArtOrDe	13,14|||a							https://en.wikipedia.org/wiki/Serotonin	3	10
27	The second phase to synthesizing tryptophan itself from the 5-hydroxytryptophan intermediate would require adding ethanol and water, and letting sit for 30 days this time.	The second phase to synthesizing tryptophan itself from the 5-hydroxytryptophan intermediate would require adding ethanol and water, and letting sit for 30 days this time.	25													https://en.wikipedia.org/wiki/Serotonin	0	20
28	The brain uses significantly less energy during sleep than this does when awoke, especially during non-REM sleep.	The brain uses significantly less energy during sleep than it does when awake, especially during non-REM sleep.	17	Pref	9,10|||it	Mec	12,13|||awake									https://en.wikipedia.org/wiki/Sleep	2	10
29	Conversely he or she can have difficulty waking up in the trough of the cycle.	Conversely they can have difficulty waking up in the trough of the cycle.	13	Pref	1,4|||they											https://en.wikipedia.org/wiki/Sleepp	1	10
30	The human physically organism restores itself during sleep, healing theirself and removing metabolic wastes which builds during periods of activity.	The human organism physically restores itself during sleep, healing itself and removing metabolic wastes which build up during periods of activity.	21	WOadv	2,4|||organism physically	Pref	10,11|||itself	SVA	16,17|||build	Wci	17,17|||up					https://en.wikipedia.org/wiki/Sleep	4	20
31	Many of Shakespeare play were published in editions of varying quality and accuracy in his lifetime.	Many of Shakespeare's plays were published in editions of varying quality and accuracy in his lifetime.	16	Npos	2,3|||Shakespeare 's	Nn	3,4|||plays									https://en.wikipedia.org/wiki/William_Shakespeare	2	10
32	Throughout 20th and 21st century, Shakespeare's works have been continually adapted and rediscovered with new movements in scholarship and performance.	Throughout the 20th and 21st centuries, Shakespeare's works have been continually adapted and rediscovered by new movements in scholarship and performance.	21	ArtOrDe	1,1|||the	Nn	4,5|||centuries	Prep	15,16|||by							https://en.wikipedia.org/wiki/William_Shakespeare	3	20
33	It is not so really clear for which companies Shakespeare wrote this early plays.	It is not clear for which companies Shakespeare wrote his early plays.	12	Rloc−	3,5|||	Pref	11,12|||his									https://en.wikipedia.org/wiki/William_Shakespeare	2	10
34	The Romantic poets attempted revive Shakespearean verse drama, though with a little success.	The Romantic poets attempted to revive Shakespearean verse drama, though with little success.	13	Prep	4,4|||to	ArtOrDe	11,12|||									https://en.wikipedia.org/wiki/Marketing	2	10
35	Some commentators have seen this change on mood as evidence of an more serene view of life on Shakespeare's part, but it may merely reflect the theatrical fashion on the day.	Some commentators have seen this change in mood as evidence of a more serene view of life on Shakespeare's part, but it may merely reflect the theatrical fashion of the day.	31	Wci	6,7|||in	ArtOrDe	11,12|||a	Prep	30,31|||of							https://en.wikipedia.org/wiki/Marketing	3	30
36	In 1593 an 1594, when the threatres were closed because by plague, Shakespeare publish two narrative poem on sexual themes, Venus and Adonis and The Rape of Lucrece.	In 1593 and 1594, when the theatres were closed because of plague, Shakespeare published two narrative poems on sexual themes, Venus and Adonis and The Rape of Lucrece.	28	Wci	2,3|||and	Mec	7,8|||theatres	Wci	11,12|||of	Vt	15,16|||published	Nn	18,19|||poems			https://en.wikipedia.org/wiki/Marketingg	5	20
37	This decision are based on the factors analyzed in a planning stage as well as where the product is in the product live cycle.	This decision is based on the factors analyzed in the planning stage as well as where the product is in the product life cycle.	24	SVA	2,3|||is	ArtOrDe	9,10|||the	Mec	22,23|||life							https://en.wikipedia.org/wiki/Marketing	3	20
38	To stimulate the growth of sale, use for advertising may be high, in other to heightening awareness of the product in question. 	To stimulate the growth of sales, use of advertising may be high, in order to heighten awareness of the product in question. 	22	Nn	5,6|||sales	Prep	8,9|||of	Wci	15,16|||order	Vform	17,18|||heighten					https://en.wikipedia.org/wiki/Marketing	4	20
39	Viral marketing can be greatly facilitated by social medium and if successful, allows key marketing messages and content in reaching large number of target audience within a short time frame.	Viral marketing can be greatly facilitated by social media and if successful, allows key marketing messages and content in reaching a large number of target audiences within a short time frame.	31	Wci	8,9|||media	ArtOrDe	21,21|||a	Nn	25,26|||audiences							https://en.wikipedia.org/wiki/Marketing	3	30
40	C2C marketing represents a market envirnment where one customer purchase good from another customer using a third-party business or platform to facilitate transaction.	C2C marketing represents a market environment where one customer purchases goods from another customer using a third-party business or platform to facilitate the transaction.	24	Mec	5,6|||environment	SVA	9,10|||purchases	Mec	10,11|||goods	ArtOrDe	22,22|||the					https://en.wikipedia.org/wiki/Marketing	4	20
41	He concluded there is fourteen different types of cubics that cannot be reduced to a equation of a less degree.	He concluded that there are fourteen different types of cubics that cannot be reduced to an equation of a lesser degree.	21	Ssub	2,2|||that	SVA	3,4|||are	ArtOrDe	14,15|||an	Wform	18,19|||lesser					https://en.wikipedia.org/wiki/Omar_Khayyam	4	20
42	I did not observe that he had any great belief of astrological predictions, nor I have seen or heard from any of the great scientists who had such belief.	I did not observe that he had any great belief in astrological predictions, nor have I seen or heard of any of the great scientists who had such belief.	29	Wci	10,11|||in	WOinc	15,17|||have I	Prep	20,21|||of							https://en.wikipedia.org/wiki/Omar_Khayyamm	3	20
43	Premise of PMI is that the tools and technique of project management are common even amon the widespead application of projects from a software industry to the construction industry.	The premise of PMI is that the tools and techniques of project management are common even among the widespread application of projects from the software industry to the construction industry.	30	ArtOrDe	0,1|||The premise	Nn	8,9|||techniques	Mec	15,16|||among	Mec	17,18|||widespread	ArtOrDe	22,23|||the			https://en.wikipedia.org/wiki/Collaboration	5	30
44	Ballet is a collaboration art form.	Ballet is a collaborative art form.	6	Wform	3,4|||collaborative											https://en.wikipedia.org/wiki/Collaboration	1	0
45	The musical assistant explain developments of musical research and translates artistic ideas into programming languages.	The musical assistant explains developments in musical research and translates artistic ideas into programming languages.	15	SVA	3,4|||explains	Prep	5,6|||in									https://en.wikipedia.org/wiki/Collaboration	2	10
46	Examples of products created by mean of commons-based peer production include Linux, an computer operating system	Examples of products created by means of commons-based peer production include Linux, a computer operating system	16	Wci	5,6|||means	ArtOrDe	13,14|||a									https://en.wikipedia.org/wiki/Collaboration	2	10
47	Wikipedia is a example o a collaborative editing project on a large scale, which can be both good and bad, because of the large contributions from the public, Wikipedia has one of the widest ranges for material in the world. 	Wikipedia is an example of a collaborative editing project on a large scale, which can be both good and bad. Because of the large contributions by the public, Wikipedia has one of the widest ranges of material in the world. 	40	ArtOrDe	2,3|||an	Mec	4,5|||of	Srun	21,23|||. Because	Prep	27,28|||by	Wci	38,39|||of			https://en.wikipedia.org/wiki/Collaborative_editing	5	40
48	The typing might be organized by divides the write into sub-tasks assigned to each group member, with the part first of the tasks done before the next parts, or he or she might work together on each tasks.	The typing might be organized by dividing the writing into sub-tasks assigned to each group member, with the first part of the tasks done before the next parts, or they might work together on each task.	36	Vform	6,7|||dividing	Wform	8,9|||writing	WOinc	19,21|||first part	Pref	31,34|||they	Nn	39,40|||task			https://en.wikipedia.org/wiki/Collaborative_editing	5	30
49	Such asynchronous contributions are very efficient in the current time, as group members need not to assemble order to work together.	Such asynchronous contributions are very efficient in time, as group members need not assemble in order to work together.	19	Rloc−	7,9|||	Rloc−	16,17|||	Wci	18,18|||in							https://en.wikipedia.org/wiki/Collaborative_editing	3	10
50	That is increasing amount of research literature investigating how a collaborative writing can improve learning experiences.	There is increasing amount of research literature investigating how collaborative writing can improve learning experiences.	15	Pref	0,1|||There	ArtOrDe	9,10|||									https://en.wikipedia.org/wiki/Collaborative_editing	2	10
51	At first, the designers of word processing systems combines existing technologies with emerging ones to develop stand-alone equipment, created a new business distinct to the emerging world of the personally computer.	At first, the designers of word processing systems combined existing technologies with emerging ones to develop stand-alone equipment, creating a new business distinct from the emerging world of the personal computer.	31	Vt	9,10|||combined	Vform	20,21|||creating	Prep	25,26|||from	Wci	31,32|||personal					https://en.wikipedia.org/wiki/Word_processor	4	30
52	Word processors do not develop out computer technolology.	Word processors did not develop out of computer technology.	9	Vt	2,3|||did	Wci	6,6|||of	Mec	7,8|||technology							https://en.wikipedia.org/wiki/Word_processor	3	0
53	Word processing systems would create a lot much more complex and capable text were develop and prices begam to fall, making them more accessibly to the public.	Word processing systems that would create much more complex and capable text were developed and prices began to fall, making them more accessible to the public.	26	Ssub	3,3|||that	Rloc−	5,7|||	Vform	14,15|||developed	Mec	17,18|||began	Wform	24,25|||accessible			https://en.wikipedia.org/wiki/Word_processor	5	20
54	A demand for new and interesting fonts, which can be found the free of copyright restrictions, or commissioned from font designers, occurred. 	A demand for new and interesting fonts, which can be found free of copyright restrictions, or commissioned from font designers, occurred. 	21	ArtOrDe	12,13|||											https://en.wikipedia.org/wiki/Word_processor	1	20
55	Five of this amphora were designated is originating from the king personal estate, with the sixth from the estate from the royal house of Aten.	Five of these amphoras were designated as originating from the king's personal estate, with the sixth from the estate of the royal house of Aten.	25	Pref	2,3|||these	Nn	3,4|||amphoras	Wci	6,7|||as	Npos	10,11|||king 's	Prep	20,21|||of			https://en.wikipedia.org/wiki/Wine	5	20
56	Both of it regions eventually evolved into American wine's oldest and largest wine producrs respectively.	Both of these regions eventually evolved into American wine's oldest and largest wine producers respectively.	15	Pref	2,3|||these	Mec	14,15|||producers									https://en.wikipedia.org/wiki/Wine	2	10
57	Wine must also be made from other species of grape or from hybrids, created by the genetical crossing of two specie.	Wine can also be made from other species of grape or from hybrids, created by the genetic crossing of two species.	21	Vm	1,2|||can	Wci	17,18|||genetic	Nn	21,22|||species							https://en.wikipedia.org/wiki/Wine	3	20
58	Some blended wine names are marketing terms whose use is governed by trademark law rather than by specific wine laws.	Some blended wine names are marketing terms whose use is governed by trademark law rather than by specific wine laws.	20													https://en.wikipedia.org/wiki/Wine	0	20
59	Western cultures are associated width auditory experiences concerning religious content, frequently related for sin.	Western cultures are associated with auditory experiences concerning religious content, frequently related to sin.	14	Wci	4,5|||with	Prep	13,14|||to									https://en.wikipedia.org/wiki/Psychosis	2	10
60	An delusion is commonly defined as an unrelenting sense of certainty maintained despite of strong contradictroy evidence.	A delusion is commonly defined as an unrelenting sense of certainty maintained despite strong contradictory evidence.	16	ArtOrDe	0,1|||A	Wci	13,14|||	Mec	15,16|||contradictory							https://en.wikipedia.org/wiki/Psychosis	3	10
61	A other type of catatonia is more of an outward presentation of the profoundly agitated state described from above.	The other type of catatonia is more of an outward presentation of the profoundly agitated state described above.	18	ArtOrDe	0,1|||The	Prep	17,18|||									https://en.wikipedia.org/wiki/Psychosis	2	10
62	It involves excessive and purposeless motor behaviour, as well as extreme mental preoccupation that prevents an intact experiences of reality.	It involves excessive and purposeless motor behaviour, as well as extreme mental preoccupation that prevents an intact experience of reality.	20	Nn	18,19|||experience											https://en.wikipedia.org/wiki/Psychosis	1	20
63	Alogia are characterized by a lack of speech, often causing by an disruption of the throught process.	Alogia is characterized by a lack of speech, often caused by a disruption in the thought process.	17	SVA	1,2|||is	Vform	10,11|||caused	ArtOrDe	12,13|||a	Prep	14,15|||in	Mec	16,17|||thought			https://en.wikipedia.org/wiki/Alogia	5	10
64	Apart with the lacks of content in a reply, the manner in which the person delivered the reply is affected as well.	Apart from the lack of content in a reply, the manner in which the person delivers the reply is affected as well.	22	Wci	1,2|||from	Nn	3,4|||lack	Vt	16,17|||delivers							https://en.wikipedia.org/wiki/Alogia	3	20
65	Studies have showed a correlation between alogic ratings in individuals and amount and duration of pauses in they speech when responding to a series of questions posed from the researcher.	Studies have shown a correlation between alogic ratings in individuals and the amount and duration of pauses in their speech when responding to a series of questions posed by the researcher.	31	Vform	2,3|||shown	ArtOrDe	11,11|||the	Pform	17,18|||their	Wci	27,28|||by					https://en.wikipedia.org/wiki/Alogia	4	30
66	Spech vague, conveys little information, but is not grossly incoherent and the amount of speech is not reduced.	Speech is vague, conveys little information, but is not grossly incoherent and the amount of speech is not reduced.	19	Mec	0,1|||Speech	V0	1,1|||is									https://en.wikipedia.org/wiki/Alogia	2	10
67	They was found self-esteem is related to the conectivity of frontostriatal circuits, suggesting that feelings of self-worth will emerge from neural systems which integrates information about the self with positive affect and reward.	It was found that self-esteem is related to the connectivity of frontostriatal circuits, suggesting that feelings of self-worth may emerge from neural systems which integrate information about the self with positive affect and reward.	34	Pref	0,1|||It	Ssub	3,3|||that	Mec	8,9|||connectivity	Vm	18,19|||may	SVA	24,25|||integrate			https://en.wikipedia.org/wiki/Frontostriatal_circuit	5	30
68	This circuit is important executive functions including complex problem solving, learn new information, planning ahead, recalling remote memories, responding to appropriate behavior, and chronological ordering by event.	This circuit is important in executive functions including complex problem solving, learning new information, planning ahead, recalling remote memories, responding with appropriate behavior, and chronological ordering of events.	28	Prep	4,4|||in	Spar	11,12|||learning	Prep	23,24|||with	Prep	30,31|||of	Nn	31,32|||events			https://en.wikipedia.org/wiki/Frontostriatal_circuit	5	20
69	These five circuits share the same anatomical structures.	These five circuits share same anatomical structures.	7	ArtOrDe	4,5|||											https://en.wikipedia.org/wiki/Frontostriatal_circuit	1	0
70	Also, there're open connections to these circuits integrating informatin from other areas of the brain.	Also, there are open connections to these circuits integrating information from other areas of the brain.	16	Wtone	2,4|||there are	Mec	10,11|||information									https://en.wikipedia.org/wiki/Frontostriatal_circuit	2	10
71	Respect from others was believed to be more fragile and lost easily than inner self-esteem.	Respect from others was believed to be more fragile and easily lost than inner self-esteem.	15	WOadv	10,12|||easily lost											https://en.wikipedia.org/wiki/Self-esteem	1	10
72	Modern theories of self-esteem explore the reasons humans were motivated to maintain a high regard for they.	Modern theories of self-esteem explore the reasons humans are motivated to maintain a high regard for themselves.	17	Vt	8,9|||are	Pform	16,17|||themselves									https://en.wikipedia.org/wiki/Self-esteem	2	10
73	According with Terror Management Theory, self-esteem serves a protective function and reduce anxiety about life and death.	According to Terror Management Theory, self-esteem serves a protective function and reduces anxiety about life and death.	17	Wci	1,2|||to	SVA	12,13|||reduces									https://en.wikipedia.org/wiki/Self-esteem	2	10
74	Thus, it affects the way we are and acts in world and the way we are related to everybody else.	Thus, it affects the way we are and acts in the world and the way we are related to everybody else.	21	ArtOrDe	11,11|||the											https://en.wikipedia.org/wiki/Self-esteem	1	20
75	Experiences in a person life are a major source of how would that be the self-esteem develops.	Experiences in a person's life are a major source of how self-esteem develops.	13	Npos	3,4|||person 's	Rloc−	11,15|||									https://en.wikipedia.org/wiki/Self-esteem	2	10
76	In the early years of a child's lives, parents have a significant influence on self-esteem and can be considered the main source from positive and negative experiences a children will have.	In the early years of a child's life, parents have a significant influence on self-esteem and can be considered the main source of positive and negative experiences a child will have.	31	Nn	8,9|||life	Prep	24,25|||of	Nn	30,31|||child							https://en.wikipedia.org/wiki/Self-esteem	3	30
77	A decrease is being seen from middle age to old age with varying findings on they is a small or large decrease.	A decrease is seen from middle age to old age with varying findings on if it is a small or large decrease.	22	Rloc−	3,4|||	Trans	15,15|||if	Pref	15,16|||it							https://en.wikipedia.org/wiki/Self-esteemm	3	20
78	Multiple cohort studies show there are not an difference in the life-span trajectory of self-esteem between generations due to societal changes such grade inflation in education or the presence from social media.	Multiple cohort studies show that there is not a difference in the life-span trajectory of self-esteem between generations due to societal changes such as grade inflation in education or the presence of social media.	34	Ssub	4,4|||that	SVA	5,6|||is	ArtOrDe	7,8|||a	Wci	22,22|||as	Wci	29,30|||of			https://en.wikipedia.org/wiki/Self-esteem	5	30
79	Families with higher and expendable income can acumulate wealth and focus in meeting immediate needs while be able consume and enjoy luxuries and weather crise.	Families with higher and expendable income can accumulate wealth and focus on meeting immediate needs while being able to consume and enjoy luxuries and weather crises.	26	Mec	7,8|||accumulate	Wci	11,12|||on	Vform	16,17|||being	Wci	18,18|||to	Mec	24,25|||crises			https://en.wikipedia.org/wiki/Socioeconomic_status	5	20
80	These types of discrimination feed into the some other reasons why African Americans ends up have different starting points and therefore fewer assets.	These types of discrimination feed into the other reasons why African Americans end up having different starting points and therefore fewer assets.	22	Rloc−	7,8|||	SVA	13,14|||end	Vform	15,16|||having							https://en.wikipedia.org/wiki/Socioeconomic_status	3	20
81	Parents with an low socioeconomic status cannot afford to many of the health care resources which be the reason that their children may have a more advanced illness because of the lack to treatment.	Parents with a low socioeconomic status cannot afford many of the health care resources which is the reason that their children may have a more advanced illness because of the lack of treatment.	33	ArtOrDe	2,3|||a	Rloc−	8,9|||	Vt	16,17|||is	Wci	32,33|||of					https://en.wikipedia.org/wiki/Socioeconomic_status	4	30
82	This would lead to greater feelings of independent, making individuals of high SES less inclined to gain rapport with conversational partners because they are less likely to need their assistance in future.	This may lead to greater feelings of independence, making individuals of high SES less inclined to gain rapport with conversational partners because they are less likely to need their assistance in the future.	33	Vm	1,2|||may	Wform	7,8|||independence	ArtOrDe	32,32|||the							https://en.wikipedia.org/wiki/Socioeconomic_status	3	30
83	On contrast, increasing rates of obesity in a societal level are felt to be due to an easily assessible and palatable diet, increased reliance of cars, and mechanized manufacturing.	In contrast, increasing rates of obesity at a societal level are felt to be due to an easily accessible and palatable diet, increased reliance on cars, and mechanized manufacturing.	29	Wci	0,1|||In	Prep	7,8|||at	Mec	19,20|||accessible	Prep	26,27|||on					https://en.wikipedia.org/wiki/Obesity	4	20
84	During the same period, an increase occurred on the average amount of food energy consume.	During the same period, an increase occurred in the average amount of food energy consumed.	15	Wci	8,9|||in	Vform	15,16|||consumed									https://en.wikipedia.org/wiki/Obesity	2	10
85	It is thought in the developed countries, the wealthy are able to afford more nutritious food, they are under greater social pressure to remain slim, and have more opportunity alongside with greater expectations for physical fitness.	It is thought that in developed countries, the wealthy are able to afford more nutritious food. They are under greater social pressure to remain slim, and have more opportunities along with greater expectations for physical fitness.	36	Ssub	3,3|||that	ArtOrDe	4,5|||	Srun	17,19|||. They	Nn	31,32|||opportunities	Prep	32,33|||along			https://en.wikipedia.org/wiki/Obesity	5	30
86	Even shorts sleep does increase weight gain it is unclear this is to a meaningful degrees or increasing sleep would been of benefit.	Even if shorts sleep does increase weight gain it is unclear if this is to a meaningful degree or increasing sleep would be of benefit.	25	Wci	1,1|||if	Trans	10,10|||if	Nn	15,16|||degree	Vt	20,21|||be					https://en.wikipedia.org/wiki/Obesity	4	20
87	Certain aspects of personality are associated to being obese.	Certain aspects of personality are associated with being obese.	9	Prep	6,7|||with											https://en.wikipedia.org/wiki/Obesity	1	0
88	Yet academia study of loneliness was sparse until late twentieth centary.	Yet academic study of loneliness was sparse until the late twentieth century.	12	Mec	1,2|||academic	ArtOrDe	8,8|||the	Mec	10,11|||century							https://en.wikipedia.org/wiki/Loneliness	3	10
89	Chronic loneliness on the other hands is widely considered to be harmful, with numerous reviews and meta-studies concluding they is a significant risk factor for poor mental and physical health outcomes. 	Chronic loneliness on the other hand is widely considered harmful, with numerous reviews and meta-studies concluding it is a significant risk factor for poor mental and physical health outcomes. 	29	Wci	5,6|||hand	Rloc−	9,11|||	Pref	19,20|||it							https://en.wikipedia.org/wiki/Lonelinesss	3	20
90	The loneliness that triggers suicidal tendencies impact all facet of society. 	The loneliness that triggers suicidal tendencies impacts all facets of society. 	11	SVA	6,7|||impacts	Nn	8,9|||facets									https://en.wikipedia.org/wiki/Lonelinesss	2	10
91	Nostalgia has also been found to have a restoative effect, counteracting loneliness by increasing perceived social support.	Nostalgia has also been found to have a restorative effect, counteracting loneliness by increasing perceived social support.	17	Mec	8,9|||restorative											https://en.wikipedia.org/wiki/Lonelinesss	1	10
92	Although nostalgia am often triggered by negative feelings, but its results in increasing the one's mood and heightening positive emotions, which can stem via feelings of warmth or coping resulting from nostalgic reflections.	Although nostalgia is often triggered by negative feelings, it results in increasing one's mood and heightening positive emotions, which can stem from feelings of warmth or coping resulting from nostalgic reflections.	31	SVA	2,3|||is	Rloc−	9,10|||	Npos	10,11|||it	ArtOrDe	14,15|||	Wci	26,27|||from			https://en.wikipedia.org/wiki/Nostalgia	5	30
93	Additionally, in second study conducted, some participant were exposed from nostalgic engagement and reflection while a other group was not.	Additionally, in a second study conducted, some participants were exposed to nostalgic engagement and reflection while the other group was not.	21	ArtOrDe	3,3|||a	Nn	8,9|||participants	Wci	11,12|||to	ArtOrDe	17,18|||the					https://en.wikipedia.org/wiki/Nostalgia	4	20
