ID	website	job_function	category_name	category_id	ADD_BY	by_k_means_cluster	is_mutiple
27	JobsDB	Banking / Finance (Corporate Finance)	Banking / Finance (Corporate Finance)	c4	Ting	2	
28	JobsDB	Banking / Finance (Credit Analysis / Approval)	Banking / Finance (Credit Analysis / Approval)	c5	Ting	2	
29	JobsDB	Banking / Finance (Credit Collection)	Banking / Finance (Credit Collection)	c6	Ting	2	
30	JobsDB	Banking / Finance (Dealing & Trading)	Banking / Finance (Dealing & Trading)	c7	Ting	2	
31	JobsDB	Banking / Finance (Equities / Capital Markets)	Banking / Finance (Equities / Capital Markets)	c8	Ting	2	
32	JobsDB	Banking / Finance (Financial Services)	Banking / Finance (Financial Services)	c9	Ting	2	
33	JobsDB	Banking / Finance (Fund Management)	Banking / Finance (Fund Management)	c10	Ting	2	
34	JobsDB	Banking / Finance (Investment)	Banking / Finance (Investment)	c11	Ting	2	
35	JobsDB	Banking / Finance (Loan)	Banking / Finance (Loan)	c12	Ting	2	
36	JobsDB	Banking / Finance (Mortgage)	Banking / Finance (Mortgage)	c13	Ting	2	
37	JobsDB	Banking / Finance (Order Processing & Operation / Settlement)	Banking / Finance (Order Processing & Operation / Settlement)	c14	Ting	2	
38	JobsDB	Banking / Finance (Private Banking)	Banking / Finance (Private Banking)	c15	Ting	2	
39	JobsDB	Banking / Finance (Project Finance)	Banking / Finance (Project Finance)	c16	Ting	2	
40	JobsDB	Banking / Finance (Risk Management)	Banking / Finance (Risk Management)	c17	Ting	2	
41	JobsDB	Banking / Finance (Retail Banking)	Banking / Finance (Retail Banking)	c18	Ting	2	
42	JobsDB	Banking / Finance (Treasury)	Banking / Finance (Treasury)	c19	Ting	2	
43	JobsDB	Banking / Finance (Wealth Management)	Banking / Finance (Wealth Management)	c20	Ting	2	
44	JobsDB	Banking / Finance (Others)	Banking / Finance (Others)	c21	Ting	2	
45	JobsDB	Beauty Care / Health (Athletics / Fitness / Sports & Recreation)	Beauty Care / Health (Athletics / Fitness / Sports & Recreation)	d1	Ting	17	
46	JobsDB	Beauty Care / Health (Beautician)	Beauty Care / Health (Beautician)	d2	Ting	17	
47	JobsDB	Beauty Care / Health (Nutritionist)	Beauty Care / Health (Nutritionist)	d3	Ting	17	
48	JobsDB	Beauty Care / Health (Therapist)	Beauty Care / Health (Therapist)	d4	Ting	17	
49	JobsDB	Beauty Care / Health (Others)	Beauty Care / Health (Others)	d5	Ting	17	
50	JobsDB	Building & Construction (Architectural Services)	Building & Construction (Architectural Services)	e1	Ting	12	
51	JobsDB	Building & Construction (Building / Construction / QS)	Building & Construction (Building / Construction / QS)	e2	Ting	12	
52	JobsDB	Building & Construction (Civil / Structural)	Building & Construction (Civil / Structural)	e3	Ting	12	
53	JobsDB	Building & Construction (Others)	Building & Construction (Others)	e4	Ting	12	
54	JobsDB	Design (Fashion)	Design (Fashion)	e5	Ting	14	
55	JobsDB	Design (Graphics)	Design (Graphics)	e6	Ting	14	
56	JobsDB	Design (Industrial / Product)	Design (Industrial / Product)	e7	Ting	14	
57	JobsDB	Design (Interior)	Design (Interior)	e8	Ting	14	
58	JobsDB	Design (Multi-media)	Design (Multi-media)	e9	Ting	14	
59	JobsDB	Design (Visual Merchandising)	Design (Visual Merchandising)	e10	Ting	14	
60	JobsDB	Design (Web Designer)	Design (Web Designer)	e11	Ting	14	
61	JobsDB	Design (Others)	Design (Others)	e12	Ting	14	
62	JobsDB	E-commerce (Business Development)	E-commerce (Business Development)	e13	Ting	6	
63	JobsDB	E-commerce (Marketing - Brand / Product Management)	E-commerce (Marketing - Brand / Product Management)	e14	Ting	10	
64	JobsDB	E-commerce (Product Management / Business Analyst)	E-commerce (Product Management / Business Analyst)	e15	Ting	10	
65	JobsDB	E-commerce (Software Development)	E-commerce (Software Development)	e16	Ting	4	
66	JobsDB	E-commerce (Supply Chain)	E-commerce (Supply Chain)	e17	Ting	10	
67	JobsDB	E-commerce (Others)	E-commerce (Others)	e18	Ting	12	
68	JobsDB	Education (Lecturer / Professor)	Education (Lecturer / Professor)	e19	Ting	11	
69	JobsDB	Education (Librarian)	Education (Librarian)	e20	Ting	11	
70	JobsDB	Education (Teacher)	Education (Teacher)	e21	Ting	11	
71	JobsDB	Education (Tutor / Instructor)	Education (Tutor / Instructor)	e22	Ting	11	
72	JobsDB	Education (Others)	Education (Others)	e23	Ting	11	
73	JobsDB	Engineering (Chemical)	Engineering (Chemical)	f1	Ting	5	
74	JobsDB	Engineering (Draftsman)	Engineering (Draftsman)	f2	Ting	5	
75	JobsDB	Engineering (Electrical / Electronics)	Engineering (Electrical / Electronics)	f3	Ting	5	
76	JobsDB	Engineering (Engineering Project Management)	Engineering (Engineering Project Management)	f4	Ting	5	
77	JobsDB	Engineering (Manufacturing & Production)	Engineering (Manufacturing & Production)	f5	Ting	5	
78	JobsDB	Engineering (Mechanical)	Engineering (Mechanical)	f6	Ting	5	
79	JobsDB	Engineering (Telecommunication / Wireless / Radio)	Engineering (Telecommunication / Wireless / Radio)	f7	Ting	0	
80	JobsDB	Engineering (Others)	Engineering (Others)	f8	Ting	5	
81	JobsDB	Hospitality / F & B (Food & Beverage)	Hospitality / F & B (Food & Beverage)	g1	Ting	21	
82	JobsDB	Hospitality / F & B (Hospitality / Hotel Services)	Hospitality / F & B (Hospitality / Hotel Services)	g2	Ting	21	
83	JobsDB	Hospitality / F & B (Integrated Resort / Casino)	Hospitality / F & B (Integrated Resort / Casino)	g3	Ting	21	
84	JobsDB	Hospitality / F & B (Tourism / Travel Agency)	Hospitality / F & B (Tourism / Travel Agency)	g4	Ting	19	
85	JobsDB	Hospitality / F & B (Others)	Hospitality / F & B (Others)	g5	Ting	21	
86	JobsDB	Information Technology (IT) (Application Specialist - Network)	Information Technology (IT) (Application Specialist - Network)	h1	Ting	8	
87	JobsDB	Information Technology (IT) (Application Specialist - Software)	Information Technology (IT) (Application Specialist - Software)	h2	Ting	8	
88	JobsDB	Information Technology (IT) (Data Scientist)	Information Technology (IT) (Data Scientist)	h3	Ting	8	
89	JobsDB	Information Technology (IT) (DBA)	Information Technology (IT) (DBA)	h4	Ting	8	
90	JobsDB	Information Technology (IT) (Hardware)	Information Technology (IT) (Hardware)	h5	Ting	8	
91	JobsDB	Information Technology (IT) (IT - Webmaster / SEO)	Information Technology (IT) (IT - Webmaster / SEO)	h6	Ting	9	
92	JobsDB	Information Technology (IT) (IT Auditing)	Information Technology (IT) (IT Auditing)	h7	Ting	9	
93	JobsDB	Information Technology (IT) (IT Management)	Information Technology (IT) (IT Management)	h8	Ting	9	
94	JobsDB	Information Technology (IT) (IT Project Management / Team Lead)	Information Technology (IT) (IT Project Management / Team Lead)	h9	Ting	9	
95	JobsDB	Information Technology (IT) (Mobile / Wireless Communications)	Information Technology (IT) (Mobile / Wireless Communications)	h10	Ting	8	
96	JobsDB	Information Technology (IT) (Network & System)	Information Technology (IT) (Network & System)	h11	Ting	8	
97	JobsDB	Information Technology (IT) (Product Management / Business Analyst)	Information Technology (IT) (Product Management / Business Analyst)	h12	Ting	8	
98	JobsDB	Information Technology (IT) (Security)	Information Technology (IT) (Security)	h13	Ting	8	
99	JobsDB	Information Technology (IT) (Software Development)	Information Technology (IT) (Software Development)	h14	Ting	8	
100	JobsDB	Information Technology (IT) (Support)	Information Technology (IT) (Support)	h15	Ting	8	
101	JobsDB	Information Technology (IT) (Technical / Functional Consulting)	Information Technology (IT) (Technical / Functional Consulting)	h16	Ting	9	
102	JobsDB	Information Technology (IT) (Technical Writing)	Information Technology (IT) (Technical Writing)	h17	Ting	8	
103	JobsDB	Information Technology (IT) (Testing / QA)	Information Technology (IT) (Testing / QA)	h18	Ting	8	
104	JobsDB	Information Technology (IT) (UI/UX Designer)	Information Technology (IT) (UI/UX Designer)	h19	Ting	8	
105	JobsDB	Information Technology (IT) (Others)	Information Technology (IT) (Others)	h20	Ting	8	
106	JobsDB	Insurance (Actuarial)	Insurance (Actuarial)	i1	Ting	18	
107	JobsDB	Insurance (Claims Officer)	Insurance (Claims Officer)	i2	Ting	18	
108	JobsDB	Insurance (Insurance Agent / Broker)	Insurance (Insurance Agent / Broker)	i3	Ting	18	
109	JobsDB	Insurance (Underwriter)	Insurance (Underwriter)	i4	Ting	18	
110	JobsDB	Insurance (Others)	Insurance (Others)	i5	Ting	18	
111	JobsDB	Management (General Management)	Management (General Management)	i6	Ting	10	
112	JobsDB	Management (Management Trainee)	Management (Management Trainee)	i7	Ting	10	
113	JobsDB	Management (Top Executives (CEO, CFO, CTO, GM, MD etc.))	Management (Top Executives (CEO, CFO, CTO, GM, MD etc.))	i8	Ting	15	
114	JobsDB	Manufacturing (Garment/ Textile)	Manufacturing (Garment/ Textile)	j1	Ting	5	
115	JobsDB	Manufacturing (General / Production Workers)	Manufacturing (General / Production Workers)	j2	Ting	5	
116	JobsDB	Manufacturing (Jewelry)	Manufacturing (Jewelry)	j3	Ting	5	
117	JobsDB	Manufacturing (Manufacturing Management)	Manufacturing (Manufacturing Management)	j4	Ting	5	
118	JobsDB	Manufacturing (Printing)	Manufacturing (Printing)	j5	Ting	5	
119	JobsDB	Manufacturing (Product Development / Management)	Manufacturing (Product Development / Management)	j6	Ting	10	
120	JobsDB	Manufacturing (Production Planning / Control)	Manufacturing (Production Planning / Control)	j7	Ting	0	
121	JobsDB	Manufacturing (Quality Assurance, Control & Testing / ISO)	Manufacturing (Quality Assurance, Control & Testing / ISO)	j8	Ting	0	
122	JobsDB	Manufacturing (Others)	Manufacturing (Others)	j9	Ting	5	
123	JobsDB	Marketing / Public Relations (Digital Marketing)	Marketing / Public Relations (Digital Marketing)	k1	Ting	6	
124	JobsDB	Marketing / Public Relations (Management)	Marketing / Public Relations (Management)	k2	Ting	6	
125	JobsDB	Marketing / Public Relations (Marketing - Brand / Product Management)	Marketing / Public Relations (Marketing - Brand / Product Management)	k3	Ting	6	
126	JobsDB	Marketing / Public Relations (Marketing - Direct Marketing)	Marketing / Public Relations (Marketing - Direct Marketing)	k4	Ting	6	
127	JobsDB	Marketing / Public Relations (Marketing - General / Support)	Marketing / Public Relations (Marketing - General / Support)	k5	Ting	6	
128	JobsDB	Marketing / Public Relations (Marketing - Market Research)	Marketing / Public Relations (Marketing - Market Research)	k6	Ting	6	
129	JobsDB	Marketing / Public Relations (Marketing - Marketing Communication)	Marketing / Public Relations (Marketing - Marketing Communication)	k7	Ting	6	
130	JobsDB	Marketing / Public Relations (Public Relations - Copy-writing)	Marketing / Public Relations (Public Relations - Copy-writing)	k8	Ting	6	
131	JobsDB	Marketing / Public Relations (Public Relations - Event Management)	Marketing / Public Relations (Public Relations - Event Management)	k9	Ting	6	
132	JobsDB	Marketing / Public Relations (Public Relations - General / Support)	Marketing / Public Relations (Public Relations - General / Support)	k10	Ting	6	
133	JobsDB	Marketing / Public Relations (Others)	Marketing / Public Relations (Others)	k11	Ting	6	
134	JobsDB	Media & Advertising (Editorial / Journalism)	Media & Advertising (Editorial / Journalism)	l1	Ting	1	
135	JobsDB	Media & Advertising (Account Servicing)	Media & Advertising (Account Servicing)	l2	Ting	1	
136	JobsDB	Media & Advertising (Broadcasting - TV / Radio)	Media & Advertising (Broadcasting - TV / Radio)	l3	Ting	1	
137	JobsDB	Media & Advertising (Creative / Design)	Media & Advertising (Creative / Design)	l4	Ting	1	
138	JobsDB	Media & Advertising (Media Buying)	Media & Advertising (Media Buying)	l5	Ting	1	
139	JobsDB	Media & Advertising (Photography / Video)	Media & Advertising (Photography / Video)	l6	Ting	1	
140	JobsDB	Media & Advertising (Print Media)	Media & Advertising (Print Media)	l7	Ting	1	
141	JobsDB	Media & Advertising (Production)	Media & Advertising (Production)	l8	Ting	1	
142	JobsDB	Media & Advertising (Strategic Planning)	Media & Advertising (Strategic Planning)	l9	Ting	1	
143	JobsDB	Media & Advertising (Others)	Media & Advertising (Others)	l10	Ting	1	
144	JobsDB	Medical Services (Doctor / Practitioner / Surgeon)	Medical Services (Doctor / Practitioner / Surgeon)	m1	Ting	20	
145	JobsDB	Medical Services (Medical Services Technician)	Medical Services (Medical Services Technician)	m2	Ting	20	
146	JobsDB	Medical Services (Nursing)	Medical Services (Nursing)	m3	Ting	20	
147	JobsDB	Medical Services (Pharmaceutical)	Medical Services (Pharmaceutical)	m4	Ting	20	
148	JobsDB	Medical Services (Specialist)	Medical Services (Specialist)	m5	Ting	20	
149	JobsDB	Medical Services (Therapist)	Medical Services (Therapist)	m6	Ting	20	
150	JobsDB	Medical Services (Others)	Medical Services (Others)	m7	Ting	20	
151	JobsDB	Merchandising & Purchasing (Electronics)	Merchandising & Purchasing (Electronics)	n1	Ting	3	
152	JobsDB	Merchandising & Purchasing (Fabrics)	Merchandising & Purchasing (Fabrics)	n2	Ting	3	
153	JobsDB	Merchandising & Purchasing (Footwear)	Merchandising & Purchasing (Footwear)	n3	Ting	3	
154	JobsDB	Merchandising & Purchasing (Furniture)	Merchandising & Purchasing (Furniture)	n4	Ting	3	
155	JobsDB	Merchandising & Purchasing (Handbag)	Merchandising & Purchasing (Handbag)	n5	Ting	3	
156	JobsDB	Merchandising & Purchasing (Home Appliances)	Merchandising & Purchasing (Home Appliances)	n6	Ting	3	
157	JobsDB	Merchandising & Purchasing (Procurement / Purchasing / Sourcing)	Merchandising & Purchasing (Procurement / Purchasing / Sourcing)	n7	Ting	3	
158	JobsDB	Merchandising & Purchasing (PVC)	Merchandising & Purchasing (PVC)	n8	Ting	3	
159	JobsDB	Merchandising & Purchasing (Stationery)	Merchandising & Purchasing (Stationery)	n9	Ting	3	
160	JobsDB	Merchandising & Purchasing (Sundries)	Merchandising & Purchasing (Sundries)	n10	Ting	3	
161	JobsDB	Merchandising & Purchasing (Sweater)	Merchandising & Purchasing (Sweater)	n11	Ting	3	
162	JobsDB	Merchandising & Purchasing (Textiles)	Merchandising & Purchasing (Textiles)	n12	Ting	3	
163	JobsDB	Merchandising & Purchasing (Toy)	Merchandising & Purchasing (Toy)	n13	Ting	3	
164	JobsDB	Merchandising & Purchasing (Watch)	Merchandising & Purchasing (Watch)	n14	Ting	3	
165	JobsDB	Merchandising & Purchasing (Woven / Knit)	Merchandising & Purchasing (Woven / Knit)	n15	Ting	3	
166	JobsDB	Merchandising & Purchasing (Others)	Merchandising & Purchasing (Others)	n16	Ting	3	
167	JobsDB	Professional Services (Business Analysis / Data Analysis)	Professional Services (Business Analysis / Data Analysis)	o1	Ting	4	
168	JobsDB	Professional Services (Business Consultancy)	Professional Services (Business Consultancy)	o2	Ting	7	
169	JobsDB	Professional Services (Company Secretary)	Professional Services (Company Secretary)	o3	Ting	7	
170	JobsDB	Professional Services (Legal & Compliance)	Professional Services (Legal & Compliance)	o4	Ting	7	
171	JobsDB	Professional Services (Translation)	Professional Services (Translation)	o5	Ting	7	
172	JobsDB	Property / Real Estate (Property Consultancy)	Property / Real Estate (Property Consultancy)	p1	Ting	23	
173	JobsDB	Property / Real Estate (Property Management)	Property / Real Estate (Property Management)	p2	Ting	23	
174	JobsDB	Property / Real Estate (Others)	Property / Real Estate (Others)	p3	Ting	23	
175	JobsDB	Public / Civil (Civil Services)	Public / Civil (Civil Services)	q1	Ting	6	
176	JobsDB	Public / Civil (Counseling)	Public / Civil (Counseling)	q2	Ting	6	
177	JobsDB	Public / Civil (Social Services - Community / Non-profit Organization)	Public / Civil (Social Services - Community / Non-profit Organization)	q3	Ting	6	
178	JobsDB	Public / Civil (Utilities)	Public / Civil (Utilities)	q4	Ting	6	
179	JobsDB	Public / Civil (Others)	Public / Civil (Others)	q5	Ting	12	
180	JobsDB	Sales, CS & Business Devpt (Account Servicing)	Sales, CS & Business Devpt (Account Servicing)	r1	Ting	6	
181	JobsDB	Sales, CS & Business Devpt (Business Development)	Sales, CS & Business Devpt (Business Development)	r2	Ting	6	
182	JobsDB	Sales, CS & Business Devpt (Call Centre)	Sales, CS & Business Devpt (Call Centre)	r3	Ting	6	
183	JobsDB	Sales, CS & Business Devpt (Channel / Distribution)	Sales, CS & Business Devpt (Channel / Distribution)	r4	Ting	6	
184	JobsDB	Sales, CS & Business Devpt (Customer Service - Manager)	Sales, CS & Business Devpt (Customer Service - Manager)	r5	Ting	6	
185	JobsDB	Sales, CS & Business Devpt (Customer Service - Supervisor/Officer)	Sales, CS & Business Devpt (Customer Service - Supervisor/Officer)	r6	Ting	6	
186	JobsDB	Sales, CS & Business Devpt (Direct Sales)	Sales, CS & Business Devpt (Direct Sales)	r7	Ting	6	
187	JobsDB	Sales, CS & Business Devpt (Retail Sales)	Sales, CS & Business Devpt (Retail Sales)	r8	Ting	6	
188	JobsDB	Sales, CS & Business Devpt (Sales - Real Estate)	Sales, CS & Business Devpt (Sales - Real Estate)	r9	Ting	6	
189	JobsDB	Sales, CS & Business Devpt (Sales - Sales Management)	Sales, CS & Business Devpt (Sales - Sales Management)	r10	Ting	6	
190	JobsDB	Sales, CS & Business Devpt (Sales Administration)	Sales, CS & Business Devpt (Sales Administration)	r11	Ting	6	
191	JobsDB	Sales, CS & Business Devpt (Technical Sales / Sales Engineer)	Sales, CS & Business Devpt (Technical Sales / Sales Engineer)	r12	Ting	6	
192	JobsDB	Sales, CS & Business Devpt (Tele-sales (Telemarketing))	Sales, CS & Business Devpt (Tele-sales (Telemarketing))	r13	Ting	6	
193	JobsDB	Sales, CS & Business Devpt (Wholesale)	Sales, CS & Business Devpt (Wholesale)	r14	Ting	6	
194	JobsDB	Sales, CS & Business Devpt (Others)	Sales, CS & Business Devpt (Others)	r15	Ting	6	
195	JobsDB	Sciences, Lab, R&D (Chemical)	Sciences, Lab, R&D (Chemical)	s1	Ting	7	
196	JobsDB	Sciences, Lab, R&D (Energy / Natural Resources / Oil & Gas)	Sciences, Lab, R&D (Energy / Natural Resources / Oil & Gas)	s2	Ting	5	
197	JobsDB	Sciences, Lab, R&D (Environmental Science / Waste Management)	Sciences, Lab, R&D (Environmental Science / Waste Management)	s3	Ting	10	
198	JobsDB	Sciences, Lab, R&D (Food Science)	Sciences, Lab, R&D (Food Science)	s4	Ting	7	
199	JobsDB	Sciences, Lab, R&D (Laboratory)	Sciences, Lab, R&D (Laboratory)	s5	Ting	7	
200	JobsDB	Sciences, Lab, R&D (Life Science)	Sciences, Lab, R&D (Life Science)	s6	Ting	4	
201	JobsDB	Sciences, Lab, R&D (Research & Development (R&D))	Sciences, Lab, R&D (Research & Development (R&D))	s7	Ting	4	
202	JobsDB	Sciences, Lab, R&D (Others)	Sciences, Lab, R&D (Others)	s8	Ting	7	
203	JobsDB	Transportation & Logistics (Aerospace)	Transportation & Logistics (Aerospace)	t1	Ting	24	
204	JobsDB	Transportation & Logistics (Aviation Services)	Transportation & Logistics (Aviation Services)	t2	Ting	24	
205	JobsDB	Transportation & Logistics (Documentary Credit / Bills Processing)	Transportation & Logistics (Documentary Credit / Bills Processing)	t3	Ting	24	
206	JobsDB	Transportation & Logistics (Freight Forwarding)	Transportation & Logistics (Freight Forwarding)	t4	Ting	24	
207	JobsDB	Transportation & Logistics (Fulfillment)	Transportation & Logistics (Fulfillment)	t5	Ting	24	
208	JobsDB	Transportation & Logistics (Inventory / Warehousing)	Transportation & Logistics (Inventory / Warehousing)	t6	Ting	24	
209	JobsDB	Transportation & Logistics (Maritime - General)	Transportation & Logistics (Maritime - General)	t7	Ting	24	
210	JobsDB	Transportation & Logistics (Private Transportation)	Transportation & Logistics (Private Transportation)	t8	Ting	24	
211	JobsDB	Transportation & Logistics (Public Transportation)	Transportation & Logistics (Public Transportation)	t9	Ting	24	
212	JobsDB	Transportation & Logistics (Shipping)	Transportation & Logistics (Shipping)	t10	Ting	24	
213	JobsDB	Transportation & Logistics (Supply Chain)	Transportation & Logistics (Supply Chain)	t11	Ting	24	
214	JobsDB	Transportation & Logistics (Others)	Transportation & Logistics (Others)	t12	Ting	24	
215	JobsDB	Others (Agriculture / Forestry / Fishing)	Others (Agriculture / Forestry / Fishing)	u1	Ting	19	
216	JobsDB	Others (Entertainment - Artists / Singers / Musicians)	Others (Entertainment - Artists / Singers / Musicians)	u2	Ting	12	
217	JobsDB	Others (Junior Executive)	Others (Junior Executive)	u3	Ting	12	
218	JobsDB	Others (Security / Safety Control)	Others (Security / Safety Control)	u4	Ting	12	
219	JobsDB	Others (Student / Fresh Graduate / No Experience)	Others (Student / Fresh Graduate / No Experience)	u5	Ting	7	
220	JobsDB	Others (Technician)	Others (Technician)	u6	Ting	12	
221	JobsDB	Others (Trading)	Others (Trading)	u7	Ting	12	
222	JobsDB	Others (Others)	Others (Others)	u8	Ting	12	
543	indeed	Accounting	Accounting (Others)	a12	Ting	22	
544	indeed	Finance	Banking / Finance (Others)	c21	Ting	16	
545	indeed	PR	Marketing / Public Relations (Public Relations - General / Support)	k10	Ting	11	
546	indeed	Administrative	Admin & HR (Others)	b11	Ting	25	
547	indeed	Food Service	Hospitality / F & B (Food & Beverage)	g1	Ting	6	
548	indeed	Publishing	Media & Advertising (Print Media)	l7		17	
549	indeed	Advertising	Media & Advertising (Others)	l10	Ting	1	
550	indeed	Healthcare	Beauty Care / Health (Others)	d5	Ting	19	
551	indeed	Real Estate	Property / Real Estate (Others)	p3	Ting	17	
552	indeed	Agriculture	Others (Agriculture / Forestry / Fishing)	u1	Ting	25	
553	indeed	Hospitality	Hospitality / F & B (Others)	g5	Ting	21	
554	indeed	Restaurant	Hospitality / F & B (Food & Beverage)	g1	Ting	21	
555	indeed	Architecture	Building & Construction (Architectural Services)	e1	Ting	17	
556	indeed	Human Resources	Admin & HR (Others)	b11	Ting	11	
557	indeed	Resturant	Hospitality / F & B (Food & Beverage)	g1	Ting	22	
558	indeed	Arts	Others (Entertainment - Artists / Singers / Musicians)	u2	Sun	14	
559	indeed	Insurance	Insurance (Others)	i5	Sun	18	
560	indeed	Retail	Sales, CS & Business Devpt (Retail Sales)	r8	Sun	4	
561	indeed	Banking	Banking / Finance (Others)	c21	Sun	2	
562	indeed	IT	Information Technology (IT) (Others)	h20	Sun	9	
563	indeed	Sales	Sales, CS & Business Devpt (Direct Sales)	r7	Sun	6	
564	indeed	Computer	Information Technology (IT) (Hardware)	h5	Sun	25	
565	indeed	Law Enforcement	Professional Services (Legal & Compliance)	o4	Sun	0	
566	indeed	Scientific	Sciences, Lab, R&D (Others)	s8	Sun	11	
567	indeed	Construction	Building & Construction (Building / Construction / QS)	e2	Sun	23	
568	indeed	Legal	Professional Services (Legal & Compliance)	o4	Sun	7	
569	indeed	Security	Others (Security / Safety Control)	u4	Sun	12	
570	indeed	Consulting	Accounting (Consulting)	a5	Sun	19	
571	indeed	Loans	Banking / Finance (Loan)	c12	Sun	23	
572	indeed	Social Care	Public / Civil (Social Services - Community / Non-profit Organization)	q3	Sun	17	
573	indeed	Customer Service	Sales, CS & Business Devpt (Customer Service - Supervisor/Officer)	r6	Sun	6	
574	indeed	Logistics	Transportation & Logistics (Others)	t12	Sun	24	
575	indeed	Telecommunications	Engineering (Telecommunication / Wireless / Radio)	f7	Sun	14	
576	indeed	Education	Education (Others)	e23	Sun	11	
577	indeed	Management	Management (General Management)	i6	Sun	10	
578	indeed	Training	Admin & HR (Training & Development)	b10	Sun	11	
579	indeed	Energy	Sciences, Lab, R&D (Energy / Natural Resources / Oil & Gas)	s2	Sun	14	
580	indeed	Manufacturing	Manufacturing (Others)	j9	Sun	5	
581	indeed	Transportation	Transportation & Logistics (Others)	t12	Sun	24	
582	indeed	Engineer	Engineering (Others)	f8	Sun	1	
583	indeed	Marketing	Marketing / Public Relations (Marketing - General / Support)	k5	Sun	6	
584	indeed	Travel	Hospitality / F & B (Tourism / Travel Agency)	g4	Sun	19	
585	indeed	Engineering	Engineering (Others)	f8	Sun	5	
586	indeed	Mechanical	Engineering (Mechanical)	f6	Sun	24	
587	indeed	Volunteering	Public / Civil (Social Services - Community / Non-profit Organization)	q3	Sun	1	
588	indeed	Facilities	Building & Construction (Building / Construction / QS)	e2	Sun	26	
589	indeed	Pharmaceutical	Medical Services (Pharmaceutical)	m4	Sun	20	
590	glassdoor	Administrative	Admin & HR (Administration / Operation Manager)	b1	Sun	25	
591	glassdoor	Arts & Design	Design (Graphics)	e6	Sun	14	
592	glassdoor	Business	Sales, CS & Business Devpt (Others)	r15	Sun	12	
593	glassdoor	Consulting	Professional Services (Business Consultancy)	o2	Omar	19	
594	glassdoor	Customer Services & Support	Sales, CS & Business Devpt (Customer Service - Supervisor/Officer)	r6	Sun	4	
595	glassdoor	Education	Education (Others)	e23	Sun	11	
596	glassdoor	Engineering	Engineering (Others)	f8	Sun	5	
597	glassdoor	Finance & Accounting	Accounting (Finance / Accounting Manager)	a7	Sun	16	
598	glassdoor	Healthcare	Beauty Care / Health (Others)	d5	Sun	19	
599	glassdoor	Human Resources	Admin & HR (Others)	b11	Sun	11	
600	glassdoor	Information Technology	Information Technology (IT) (Others)	h20	Sun	8	
601	glassdoor	Legal	Professional Services (Legal & Compliance)	o4	Sun	7	
602	glassdoor	Marketing	Marketing / Public Relations (Marketing - General / Support)	k5	Sun	6	
603	glassdoor	Media & Communications	Media & Advertising (Others)	l10	Sun	1	
604	glassdoor	Military & Protective Services	Others (Security / Safety Control)	u4	Sun	4	
605	glassdoor	Operations	Banking / Finance (Order Processing & Operation / Settlement)	c14	Sun	10	
